timestamp_ms,pressure,ax,ay,az,gx,gy,gz,label
1764138843365,430,0.039000,0.971000,-0.158000,126,127,127,hug
1764138843386,428,0.040000,0.972000,-0.159000,126,127,127,hug
1764138843406,426,0.040000,0.972000,-0.157000,126,127,126,hug
1764138843426,426,0.039000,0.972000,-0.157000,126,127,126,hug
1764138843447,422,0.039000,0.972000,-0.157000,126,127,126,hug
1764138843467,419,0.041000,0.971000,-0.159000,126,127,126,hug
1764138843488,416,0.041000,0.972000,-0.161000,126,127,126,hug
1764138843509,412,0.041000,0.971000,-0.161000,126,127,126,hug
1764138843530,412,0.046000,0.970000,-0.159000,126,127,126,hug
1764138843550,406,0.042000,0.970000,-0.155000,126,127,126,hug
1764138843571,397,0.042000,0.970000,-0.152000,126,127,126,hug
1764138843592,393,0.042000,0.970000,-0.148000,126,127,126,hug
1764138843613,392,0.038000,0.972000,-0.147000,126,127,126,hug
1764138843633,394,0.038000,0.972000,-0.148000,126,127,126,hug
1764138843653,400,0.038000,0.973000,-0.147000,126,127,126,hug
1764138843673,408,0.038000,0.971000,-0.144000,126,127,126,hug
1764138843693,413,0.039000,0.972000,-0.147000,127,127,127,hug
1764138843713,424,0.038000,0.971000,-0.148000,127,127,127,hug
1764138843734,431,0.038000,0.971000,-0.149000,127,127,127,hug
1764138843755,432,0.039000,0.971000,-0.149000,127,127,127,hug
1764138843775,431,0.040000,0.971000,-0.150000,127,127,127,hug
1764138843796,432,0.038000,0.971000,-0.152000,127,127,127,hug
1764138843817,428,0.039000,0.972000,-0.154000,127,127,127,hug
1764138843838,429,0.039000,0.972000,-0.157000,127,127,127,hug
1764138843859,427,0.039000,0.971000,-0.157000,127,127,127,hug
1764138843881,424,0.040000,0.971000,-0.158000,127,127,127,hug
1764138843902,412,0.040000,0.971000,-0.159000,127,127,127,hug
1764138843924,399,0.039000,0.970000,-0.156000,126,127,126,hug
1764138843944,394,0.039000,0.969000,-0.154000,126,127,126,hug
1764138843965,389,0.040000,0.970000,-0.152000,126,127,126,hug
1764138843984,385,0.040000,0.970000,-0.152000,126,127,126,hug
1764138844004,383,0.040000,0.970000,-0.152000,127,127,126,hug
1764138844024,379,0.038000,0.973000,-0.156000,127,127,127,hug
1764138844045,377,0.037000,0.972000,-0.157000,127,127,127,hug
1764138844066,384,0.036000,0.972000,-0.159000,126,127,127,hug
1764138844087,389,0.036000,0.971000,-0.156000,126,127,126,hug
1764138844107,393,0.036000,0.972000,-0.153000,126,127,126,hug
1764138844127,394,0.038000,0.971000,-0.153000,126,127,127,hug
1764138844148,389,0.038000,0.972000,-0.156000,127,127,127,hug
1764138844168,396,0.039000,0.972000,-0.156000,127,127,127,hug
1764138844188,401,0.040000,0.973000,-0.157000,127,127,127,hug
1764138844209,410,0.039000,0.972000,-0.157000,127,127,127,hug
1764138844229,410,0.039000,0.972000,-0.159000,127,127,127,hug
1764138844250,406,0.039000,0.972000,-0.159000,126,127,126,hug
1764138844270,411,0.037000,0.972000,-0.157000,126,127,126,hug
1764138844291,417,0.038000,0.971000,-0.157000,126,127,126,hug
1764138844312,421,0.039000,0.971000,-0.156000,126,127,126,hug
1764138844333,424,0.039000,0.970000,-0.154000,127,127,126,hug
1764138844355,427,0.039000,0.970000,-0.155000,127,127,126,hug
1764138844375,425,0.040000,0.970000,-0.157000,127,127,126,hug
1764138844396,421,0.039000,0.970000,-0.157000,127,127,127,hug
1764138844416,386,0.041000,0.969000,-0.160000,127,127,126,hug
1764138844437,366,0.039000,0.969000,-0.158000,127,127,126,hug
1764138844457,342,0.038000,0.970000,-0.160000,127,127,126,hug
1764138844478,327,0.037000,0.971000,-0.158000,126,127,126,hug
1764138844498,325,0.035000,0.972000,-0.156000,126,127,126,hug
1764138844519,332,0.036000,0.972000,-0.158000,126,127,126,hug
1764138844540,338,0.037000,0.971000,-0.157000,126,127,126,hug
1764138844561,352,0.038000,0.970000,-0.155000,126,127,126,hug
1764138844582,368,0.038000,0.971000,-0.151000,126,127,126,hug
1764138844603,371,0.038000,0.970000,-0.156000,126,127,126,hug
1764138844623,377,0.041000,0.970000,-0.157000,126,127,126,hug
1764138844643,383,0.040000,0.969000,-0.154000,126,127,126,hug
1764138844663,392,0.041000,0.968000,-0.156000,126,127,126,hug
1764138844684,411,0.040000,0.968000,-0.155000,126,127,126,hug
1764138844704,421,0.040000,0.968000,-0.152000,126,127,126,hug
1764138844725,431,0.039000,0.968000,-0.153000,126,127,126,hug
1764138844745,438,0.038000,0.971000,-0.154000,127,127,126,hug
1764138844766,444,0.038000,0.971000,-0.156000,127,127,126,hug
1764138844786,455,0.038000,0.971000,-0.156000,126,127,126,hug
1764138844807,466,0.039000,0.970000,-0.155000,127,127,126,hug
1764138844828,475,0.038000,0.970000,-0.155000,127,127,126,hug
1764138844849,481,0.038000,0.969000,-0.157000,127,127,126,hug
1764138844869,485,0.039000,0.970000,-0.157000,127,127,126,hug
1764138844889,491,0.039000,0.970000,-0.158000,127,127,127,hug
1764138844910,491,0.040000,0.972000,-0.158000,127,127,126,hug
1764138844929,485,0.040000,0.972000,-0.158000,126,127,126,hug
1764138844950,478,0.040000,0.973000,-0.157000,126,127,126,hug
1764138844970,465,0.039000,0.971000,-0.155000,126,127,126,hug
1764138844991,444,0.039000,0.970000,-0.154000,126,127,126,hug
1764138845012,420,0.039000,0.970000,-0.156000,126,127,126,hug
1764138845033,390,0.039000,0.970000,-0.155000,126,127,126,hug
1764138845053,358,0.040000,0.970000,-0.157000,126,127,126,hug
1764138845074,329,0.040000,0.971000,-0.156000,126,127,126,hug
1764138845094,315,0.039000,0.971000,-0.154000,126,127,126,hug
1764138845114,316,0.040000,0.971000,-0.153000,126,127,126,hug
1764138845135,315,0.041000,0.970000,-0.154000,126,127,126,hug
1764138845155,311,0.040000,0.969000,-0.152000,126,127,126,hug
1764138845175,315,0.040000,0.970000,-0.153000,126,127,126,hug
1764138845196,332,0.040000,0.970000,-0.155000,126,127,126,hug
1764138845216,345,0.040000,0.971000,-0.156000,126,127,126,hug
1764138845237,357,0.039000,0.971000,-0.155000,126,127,126,hug
1764138845257,369,0.038000,0.972000,-0.155000,126,127,126,hug
